probIn scale
0.06372631 4.602911
0.05741884 4.559605
0.05775064 5.038074
0.04763939 4.758467
0.05487739 5.07144
0.04760955 4.895139
0.05235439 4.961992
0.03690072 4.146493
0.05075939 4.315676
0.04721802 4.137575
0.04517686 4.274488
